Name,Type,Description,Product,Activity
BIOGAS_BIOMETHANE,Construction,Biomass to Biomethane,"chemical factory, organics","market for chemical factory, organics"
BIOGAS_BIOMETHANE,Operation,Biomass to Biomethane,"biomethane, from biogas upgrading, using amine scrubbing","biomethane production, from biogas upgrading, using amine scrubbing"
BIOGAS_SMR,Operation,Biogas Steam Methane Reforming,"hydrogen, gaseous, low pressure","hydrogen production, steam methane reforming, from biomethane"
BIOGAS_SMR_CCS,Operation,Biogas Steam Methane Reforming with Carbon Capture,"hydrogen, gaseous, low pressure","hydrogen production, steam methane reforming, from biomethane, with CCS"
BIOGAS_SMR_CCS_PLANT,Construction,Biogas Steam Methane Reforming with Carbon Capture (plant),"chemical factory, organics","chemical factory construction, organics"
BIOGAS_SMR_CCS_TANK,Construction,Biogas Steam Methane Reforming with Carbon Capture (storage tank),"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics"
BIOGAS_SMR_PLANT,Construction,Biogas Steam Methane Reforming (plant),"chemical factory, organics","chemical factory construction, organics"
BIOGAS_SMR_TANK,Construction,Biogas Steam Methane Reforming (storage tank),"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics"
BIOMASS_GAS_EF_H2,Operation,Hydrogen from Biomass Gasification Entrained Flow ,"hydrogen, gaseous, 25 bar","hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, at gasification plant"
BIOMASS_GAS_EF_H2_CCS,Operation,Hydrogen from Biomass Gasification Entrained Flow with Carbon Capture,"hydrogen, gaseous, 25 bar","hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, with CCS, at gasification plant"
BIOMASS_GAS_EF_H2_CCS_PLANT,Construction,Hydrogen from Biomass Gasification Entrained Flow with Carbon Capture (plant),synthetic gas factory,synthetic gas factory construction
BIOMASS_GAS_EF_H2_CCS_TANK,Construction,Hydrogen from Biomass Gasification Entrained Flow with Carbon Capture (storage tank),"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics"
BIOMASS_GAS_EF_H2_PLANT,Construction,Hydrogen from Biomass Gasification Entrained Flow  (plant),synthetic gas factory,synthetic gas factory construction
BIOMASS_GAS_EF_H2_TANK,Construction,Hydrogen from Biomass Gasification Entrained Flow  (storage tank),"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics"
BIOMASS_GAS_FB_H2,Operation,Hydrogen from Biomass Gasification Fuidized Bed ,"hydrogen, gaseous, 25 bar","hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, at gasification plant"
BIOMASS_GAS_FB_H2_CCS,Operation,Hydrogen from Biomass Gasification Fuidized Bed with Carbon Capture,"hydrogen, gaseous, 25 bar","hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, with CCS, at gasification plant"
BIOMASS_GAS_FB_H2_CCS_PLANT,Construction,Hydrogen from Biomass Gasification Fuidized Bed with Carbon Capture (plant),synthetic gas factory,synthetic gas factory construction
BIOMASS_GAS_FB_H2_CCS_TANK,Construction,Hydrogen from Biomass Gasification Fuidized Bed with Carbon Capture (storage tank),"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics"
BIOMASS_GAS_FB_H2_PLANT,Construction,Hydrogen from Biomass Gasification Fuidized Bed  (plant),synthetic gas factory,synthetic gas factory construction
BIOMASS_GAS_FB_H2_TANK,Construction,Hydrogen from Biomass Gasification Fuidized Bed  (storage tank),"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics"
BUS_BIODIESEL_B100,Operation,100% BioDiesel-Powered Bus,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel, 13m double deck urban bus, EURO-VI"
BUS_BIODIESEL_B100,Construction,100% BioDiesel-Powered Bus,"Passenger bus, EURO-VI","Passenger bus, diesel, 13m double deck urban bus, EURO-VI"
BUS_BIODIESEL_B20,Operation,20% BioDiesel-Powered Bus,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel, 13m double deck urban bus, EURO-VI"
BUS_BIODIESEL_B20,Construction,20% BioDiesel-Powered Bus,"Passenger bus, EURO-VI","Passenger bus, diesel, 13m double deck urban bus, EURO-VI"
BUS_CNG,Operation,Compressed Natural Gas-Powered Bus,"transport, passenger bus, EURO-VI","transport, passenger bus, compressed gas, 13m double deck urban bus, EURO-VI"
BUS_CNG,Construction,Compressed Natural Gas-Powered Bus,"Passenger bus, EURO-VI","Passenger bus, compressed gas, 13m double deck urban bus, EURO-VI"
BUS_DIESEL,Operation,Diesel-Powered Bus,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel, 13m double deck urban bus, EURO-VI"
BUS_DIESEL,Construction,Diesel-Powered Bus,"Passenger bus, EURO-VI","Passenger bus, diesel, 13m double deck urban bus, EURO-VI"
BUS_EV,Construction,Electric-Powered Bus,passenger bus,"passenger bus, battery electric - overnight charging, 13m double deck urban bus"
BUS_EV,Operation,Electric-Powered Bus,"transport, passenger bus","transport, passenger bus, battery electric - overnight charging, 13m double deck urban bus"
BUS_FC_H2,Construction,Hydrogen Fuel Cell-Powered Bus,passenger bus,"passenger bus, fuel cell electric, 13m double deck urban bus"
BUS_FC_H2,Operation,Hydrogen Fuel Cell-Powered Bus,"transport, passenger bus","transport, passenger bus, fuel cell electric, 13m double deck urban bus"
BUS_GASOLINE,Operation,Gasoline-Powered Bus,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel, 13m double deck urban bus, EURO-VI"
BUS_GASOLINE,Construction,Gasoline-Powered Bus,"Passenger bus, EURO-VI","Passenger bus, diesel, 13m double deck urban bus, EURO-VI"
BUS_HY_DIESEL,Operation,Diesel Hybrid Bus,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel hybrid, 13m double deck urban bus, EURO-VI"
BUS_HY_DIESEL,Construction,Diesel Hybrid Bus,"Passenger bus, EURO-VI","Passenger bus, diesel hybrid, 13m double deck urban bus, EURO-VI"
BUS_PROPANE,Construction,Propane-Powered Bus,"Passenger bus, EURO-VI","Passenger bus, compressed gas, 13m double deck urban bus, EURO-VI"
BUS_PROPANE,Operation,Propane-Powered Bus,"transport, passenger bus, EURO-VI","transport, passenger bus, compressed gas, 13m double deck urban bus, EURO-VI"
CAR_BIODIESEL_B100,Operation,100% BioDiesel-Powered Car,"transport, passenger car, EURO-6ab","transport, passenger car, diesel, Medium, EURO-6ab"
CAR_BIODIESEL_B100,Construction,100% BioDiesel-Powered Car,"Passenger car, EURO-6ab","Passenger car, diesel, Medium, EURO-6ab"
CAR_BIODIESEL_B20,Operation,20% BioDiesel-Powered Car,"transport, passenger car, EURO-6ab","transport, passenger car, diesel, Medium, EURO-6ab"
CAR_BIODIESEL_B20,Construction,20% BioDiesel-Powered Car,"Passenger car, EURO-6ab","Passenger car, diesel, Medium, EURO-6ab"
CAR_CNG,Operation,Compressed Natural Gas-Powered Car,"transport, passenger car, EURO-6ab","transport, passenger car, compressed gas, Medium, EURO-6ab"
CAR_CNG,Construction,Compressed Natural Gas-Powered Car,"Passenger car, EURO-6ab","Passenger car, compressed gas, Medium, EURO-6ab"
CAR_DIESEL,Construction,Diesel-Powered Car,"Passenger car, EURO-6ab","Passenger car, diesel, Medium, EURO-6ab"
CAR_DIESEL,Operation,Diesel-Powered Car,"transport, passenger car, EURO-6ab","transport, passenger car, diesel, Medium, EURO-6ab"
CAR_ETOH_E10,Operation,Ethanol-Powered Car (E10 Blend),"transport, passenger car, EURO-6ab","transport, passenger car, gasoline, Medium, EURO-6ab"
CAR_ETOH_E10,Construction,Ethanol-Powered Car (E10 Blend),"Passenger car, EURO-6ab","Passenger car, gasoline, Medium, EURO-6ab"
CAR_ETOH_E85,Operation,Ethanol-Powered Car with E85 Blend,"transport, passenger car, EURO-6ab","transport, passenger car, gasoline, Medium, EURO-6ab"
CAR_ETOH_E85,Construction,Ethanol-Powered Car with E85 Blend,"Passenger car, EURO-6ab","Passenger car, gasoline, Medium, EURO-6ab"
CAR_EV,Operation,Electric-Powered Car,"transport, passenger car","transport, passenger car, battery electric, Medium"
CAR_EV,Construction,Electric-Powered Car,passenger car,"passenger car, battery electric, Medium"
CAR_FC_H2,Construction,Fuel Cell-Powered Car with Hydrogen,passenger car,"passenger car, fuel cell electric, Medium"
CAR_FC_H2,Operation,Fuel Cell-Powered Car with Hydrogen,"transport, passenger car","transport, passenger car, fuel cell electric, Medium"
CAR_GASOLINE,Construction,Gasoline-Powered Car,"Passenger car, EURO-6ab","Passenger car, gasoline, Medium, EURO-6ab"
CAR_GASOLINE,Operation,Gasoline-Powered Car,"transport, passenger car, EURO-6ab","transport, passenger car, gasoline, Medium, EURO-6ab"
CAR_HEV,Operation,Hybrid Electric Car,"transport, passenger car, EURO-6ab","transport, passenger car, gasoline hybrid, Medium, EURO-6ab"
CAR_HEV,Construction,Hybrid Electric Car,"Passenger car, EURO-6ab","Passenger car, gasoline hybrid, Medium, EURO-6ab"
CAR_MEOH,Construction,Methanol-Powered Car ,"Passenger car, EURO-6ab","Passenger car, gasoline, Medium, EURO-6ab"
CAR_MEOH,Operation,Methanol-Powered Car ,"transport, passenger car, EURO-6ab","transport, passenger car, gasoline, Medium, EURO-6ab"
CAR_PHEV,Operation,Plug-in Hybrid Electric Car,"transport, passenger car, EURO-6ab","transport, passenger car, plugin gasoline hybrid, Medium, EURO-6ab"
CAR_PHEV,Construction,Plug-in Hybrid Electric Car,"Passenger car, EURO-6ab","Passenger car, plugin gasoline hybrid, Medium, EURO-6ab"
CAR_PROPANE,Operation,Propane-Powered Car,"transport, passenger car, EURO-6ab","transport, passenger car, compressed gas, Medium, EURO-6ab"
CAR_PROPANE,Construction,Propane-Powered Car,"Passenger car, EURO-6ab","Passenger car, compressed gas, Medium, EURO-6ab"
CCGT,Construction,Combined Cycle Gas Turbine,"NGCC power plant, 400MWe","market for gas power plant, combined cycle, 400MW electrical"
CCGT,Operation,Combined Cycle Gas Turbine,"electricity, high voltage","electricity production, at natural gas-fired combined cycle power plant"
CCGT_CC,Operation,Combined Cycle Gas Turbine with Carbon Capture,"electricity, high voltage","electricity production, at natural gas-fired combined cycle power plant, post, pipeline 200km, storage 1000m"
CCGT_CC,Construction,Combined Cycle Gas Turbine with Carbon Capture,"NGCC power plant, 400MWe","market for gas power plant, combined cycle, 400MW electrical"
CEMENT_PROD,Operation,Cement Production,"cement, CEM II/B","cement production, CEM II/B"
CEMENT_PROD,Construction,Cement Production,cement factory,cement factory construction
CEMENT_PROD_HP,Operation,Cement Production (heat pump),"cement, CEM II/B","cement production, CEM II/B"
CEMENT_PROD_HP,Construction,Cement Production (heat pump),cement factory,cement factory construction
CO2_METHANOL,Operation,Conversion of CO2 to Methanol,methanol,"methanol production, natural gas reforming"
CO2_METHANOL,Construction,Conversion of CO2 to Methanol,methanol factory,methanol factory construction
CO2_STO,Construction,CO2 Storage (input),"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics"
CO2_TO_DIESEL,Operation,Conversion of CO2 to Diesel,"diesel, synthetic","diesel production, synthetic, Fischer Tropsch process, hydrogen from electrolysis, energy allocation"
CO2_TO_DIESEL,Construction,Conversion of CO2 to Diesel,petroleum refinery,petroleum refinery construction
CO2_TO_JETFUELS,Operation,Conversion of CO2 to Jet Fuels,"kerosene, synthetic","kerosene production, from methanol, hydrogen from electrolysis, CO2 from cement plant, energy allocation"
CO2_TO_JETFUELS,Construction,Conversion of CO2 to Jet Fuels,petroleum refinery,petroleum refinery construction
COACH_BIODIESEL_B100,Operation,100% BioDiesel-Powered Coach,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI"
COACH_BIODIESEL_B100,Construction,100% BioDiesel-Powered Coach,"Passenger bus, EURO-VI","Passenger bus, diesel, 13m single deck coach bus, EURO-VI"
COACH_BIODIESEL_B20,Operation,20% BioDiesel-Powered Coach,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI"
COACH_BIODIESEL_B20,Construction,20% BioDiesel-Powered Coach,"Passenger bus, EURO-VI","Passenger bus, diesel, 13m single deck coach bus, EURO-VI"
COACH_CNG,Construction,Compressed Natural Gas-Powered Coach,"Passenger bus, EURO-VI","Passenger bus, compressed gas, 13m single deck coach bus, EURO-VI"
COACH_CNG,Operation,Compressed Natural Gas-Powered Coach,"transport, passenger bus, EURO-VI","transport, passenger bus, compressed gas, 13m single deck coach bus, EURO-VI"
COACH_DIESEL,Construction,Diesel-Powered Coach,"Passenger bus, EURO-VI","Passenger bus, diesel, 13m single deck coach bus, EURO-VI"
COACH_DIESEL,Operation,Diesel-Powered Coach,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI"
COACH_ETOH_E10,Construction,10% Ethanol-Powered Coach,"Passenger bus, EURO-VI","Passenger bus, diesel, 13m single deck coach bus, EURO-VI"
COACH_ETOH_E10,Operation,10% Ethanol-Powered Coach,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI"
COACH_EV,Operation,Electric-Powered Coach,"transport, passenger bus","transport, passenger bus, battery electric - overnight charging, 13m single deck urban bus"
COACH_EV,Construction,Electric-Powered Coach,passenger bus,"passenger bus, battery electric - overnight charging, 13m single deck urban bus"
COACH_GASOLINE,Construction,Gasoline-Powered Coach,"Passenger bus, EURO-VI","Passenger bus, diesel, 13m single deck coach bus, EURO-VI"
COACH_GASOLINE,Operation,Gasoline-Powered Coach,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI"
COACH_HY_DIESEL,Construction,Diesel Hybrid Coach,"Passenger bus, EURO-VI","Passenger bus, diesel hybrid, 13m single deck coach bus, EURO-VI"
COACH_HY_DIESEL,Operation,Diesel Hybrid Coach,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel hybrid, 13m single deck coach bus, EURO-VI"
COACH_PROPANE,Construction,Propane-Powered Coach,"Passenger bus, EURO-VI","Passenger bus, compressed gas, 13m single deck coach bus, EURO-VI"
COACH_PROPANE,Operation,Propane-Powered Coach,"transport, passenger bus, EURO-VI","transport, passenger bus, compressed gas, 13m single deck coach bus, EURO-VI"
COAL_GAS_H2,Operation,Hydrogen from Coal Gasification,"hydrogen, gaseous, low pressure","hydrogen production, coal gasification"
COAL_GAS_H2_ADV,Operation,Hydrogen from Advanced Coal Gasification,"hydrogen, gaseous, low pressure","hydrogen production, coal gasification"
COAL_GAS_H2_ADV_CCS,Operation,Hydrogen from Advanced Coal Gasification with Carbon Capture,"hydrogen, gaseous, low pressure","hydrogen production, coal gasification, with CCS"
COAL_GAS_H2_ADV_CCS_PLANT,Construction,Hydrogen from Advanced Coal Gasification with Carbon Capture (plant),"chemical factory, organics","chemical factory construction, organics"
COAL_GAS_H2_ADV_CCS_TANK,Construction,Hydrogen from Advanced Coal Gasification with Carbon Capture (storage tank),"liquid storage tank, chemicals, organics","liquid storage tank production, chemicals, organics"
COAL_GAS_H2_ADV_PLANT,Construction,Hydrogen from Advanced Coal Gasification (plant),"chemical factory, organics","chemical factory construction, organics"
COAL_GAS_H2_ADV_TANK,Construction,Hydrogen from Advanced Coal Gasification (storage tank),"liquid storage tank, chemicals, organics","liquid storage tank production, chemicals, organics"
COAL_GAS_H2_CCS,Operation,Hydrogen from Coal Gasification with Carbon Capture,"hydrogen, gaseous, low pressure","hydrogen production, coal gasification, with CCS"
COAL_GAS_H2_CCS_PLANT,Construction,Hydrogen from Coal Gasification with Carbon Capture (plant),"chemical factory, organics","chemical factory construction, organics"
COAL_GAS_H2_CCS_TANK,Construction,Hydrogen from Coal Gasification with Carbon Capture (storage tank),"liquid storage tank, chemicals, organics","liquid storage tank production, chemicals, organics"
COAL_GAS_H2_PLANT,Construction,Hydrogen from Coal Gasification (plant),"chemical factory, organics","chemical factory construction, organics"
COAL_GAS_H2_TANK,Construction,Hydrogen from Coal Gasification (storage tank),"liquid storage tank, chemicals, organics","liquid storage tank production, chemicals, organics"
COAL_IGCC,Construction,Integrated Gasification Combined Cycle,hard coal IGCC power plant 450MW,hard coal IGCC power plant 450MW
COAL_IGCC,Operation,Integrated Gasification Combined Cycle,"electricity, high voltage","electricity production, at hard coal-fired IGCC power plant"
COAL_IGCC_CC,Construction,Integrated Gasification Combined Cycle with Carbon Capture,hard coal IGCC power plant 450MW,hard coal IGCC power plant 450MW
COAL_IGCC_CC,Operation,Integrated Gasification Combined Cycle with Carbon Capture,"electricity, high voltage","electricity production, at hard coal-fired IGCC power plant, pre, pipeline 200km, storage 1000m"
COAL_US,Operation,Coal Ultra-Supercritical,"electricity, high voltage","electricity production, at lignite-fired power plant, pulverised"
COAL_US,Construction,Coal Ultra-Supercritical,lignite power plant,market for lignite power plant
COAL_US_CC,Operation,Coal Ultra-Supercritical with Carbon Capture,"electricity, high voltage","electricity production, at lignite-fired power plant, post, pipeline 200km, storage 1000m"
COAL_US_CC,Construction,Coal Ultra-Supercritical with Carbon Capture,lignite power plant,market for lignite power plant
COMMUTER_RAIL_DIESEL,Construction,Diesel-Powered Commuter Train,"train, passenger, regional","train production, passenger, regional"
COMMUTER_RAIL_DIESEL,Operation,Diesel-Powered Commuter Train,"transport, passenger train","transport, passenger train"
COMMUTER_RAIL_ELEC,Construction,Electric-Powered Commuter Train,"train, passenger, regional","train production, passenger, regional"
COMMUTER_RAIL_ELEC,Operation,Electric-Powered Commuter Train,"transport, passenger train","transport, passenger train, regional"
CROPS_TO_ETHANOL,Operation,Conversion of Crops to Ethanol,"ethanol, from corn","ethanol production, via fermentation, from corn, energy allocation"
CROPS_TO_ETHANOL,Construction,Conversion of Crops to Ethanol,ethanol fermentation plant,market for ethanol fermentation plant
CROPS_TO_JETFUELS,Operation,Conversion of Crops to Jet Fuels,"kerosene, synthetic","kerosene production, synthetic, Fischer Tropsch process, hydrogen from wood gasification, energy allocation"
CROPS_TO_JETFUELS,Construction,Conversion of Crops to Jet Fuels,petroleum refinery,petroleum refinery construction
CUMENE_PROCESS,Construction,Cumene Production Process,"chemical factory, organics","chemical factory construction, organics"
CUMENE_PROCESS,Operation,Cumene Production Process,cumene,"cumene production, benzene alkylation"
DAC_HT,Operation,Direct Air Capture at High Temperature,"carbon dioxide, captured from atmosphere","carbon dioxide, captured from atmosphere, with a sorbent-based direct air capture system, 100ktCO2"
DAC_HT_PLANT,Construction,Direct Air Capture at High Temperature (plant),direct air capture system,"direct air capture system, sorbent-based, 100ktCO2"
DAC_HT_PLANT_DECOM,Construction,Direct Air Capture at High Temperature (plant decommissioning),direct air capture system,"treatment of direct air capture system, sorbent-based, 100ktCO2"
DAC_LT,Operation,Direct Air Capture at Low Temperature,"carbon dioxide, captured from atmosphere","carbon dioxide, captured from atmosphere, with a solvent-based direct air capture system, 1MtCO2"
DAC_LT_PLANT,Construction,Direct Air Capture at Low Temperature (plant),direct air capture system,"direct air capture system, solvent-based, 1MtCO2"
DAC_LT_PLANT_DECOM,Construction,Direct Air Capture at Low Temperature (plant decommissioning),direct air capture system,"treatment of direct air capture system, solvent-based, 1MtCO2"
DEC_ADVCOGEN_H2,Operation,Decentralized Cogeneration with Hydrogen,"heat, from residential heating system","heat, residential, by conversion of hydrogen using fuel cell, PEM, allocated by exergy, distributed by pipeline, produced by Electrolysis, PEM using electricity from grid"
DEC_ADVCOGEN_H2,Construction,Decentralized Cogeneration with Hydrogen,"fuel cell, polymer electrolyte membrane, 2kW electrical, future","fuel cell production, polymer electrolyte membrane, 2kW electrical, future"
DEC_BOILER_GAS,Operation,Decentralized Boiler with Gas Combustion,"heat, central or small-scale, natural gas","heat production, natural gas, at boiler modulating <100kW"
DEC_BOILER_GAS,Construction,Decentralized Boiler with Gas Combustion,gas boiler,gas boiler production
DEC_BOILER_OIL,Operation,Decentralized Boiler with Oil Combustion,"heat, central or small-scale, other than natural gas","heat production, light fuel oil, at boiler 10kW condensing, non-modulating"
DEC_BOILER_OIL_BOILER,Construction,Decentralized Boiler with Oil Combustion (boiler),"oil boiler, 10kW","oil boiler production, 10kW"
DEC_BOILER_OIL_TANK,Construction,Decentralized Boiler with Oil Combustion (storage tank),"oil storage, 3000l","market for oil storage, 3000l"
DEC_BOILER_WOOD,Construction,Decentralized Boiler with Wood Combustion,"furnace, wood chips, hardwood storage area, 50kW","furnace production, wood chips, hardwood storage area, 50kW"
DEC_BOILER_WOOD,Operation,Decentralized Boiler with Wood Combustion,"heat, central or small-scale, other than natural gas","heat production, wood chips from industry, at furnace 50kW, state-of-the-art 2014"
DEC_COGEN_GAS,Operation,Decentralized Cogeneration with Gas Combustion,"heat, central or small-scale, natural gas","heat and power co-generation, natural gas, 50kW electrical, lean burn"
DEC_COGEN_GAS_CHP,Construction,"Decentralized Cogeneration with Gas Combustion (co-generation unit, components for heat and electricity)","heat and power co-generation unit, 50kW electrical, common components for heat+electricity","heat and power co-generation unit construction, 50kW electrical, common components for heat+electricity"
DEC_COGEN_GAS_ELEC,Construction,"Decentralized Cogeneration with Gas Combustion (co-generation unit, components for electricity)","heat and power co-generation unit, 50kW electrical, components for electricity only","heat and power co-generation unit construction, 50kW electrical, components for electricity only"
DEC_COGEN_GAS_HEAT,Construction,"Decentralized Cogeneration with Gas Combustion (co-generation unit, components for heat)","heat and power co-generation unit, 50kW electrical, components for heat only","heat and power co-generation unit construction, 50kW electrical, components for heat only"
DEC_COGEN_OIL,Operation,Decentralized Cogeneration with Oil Combustion,"heat, central or small-scale, other than natural gas","heat production, light fuel oil, at boiler 10kW condensing, non-modulating"
DEC_COGEN_OIL_BOILER,Construction,Decentralized Cogeneration with Oil Combustion (boiler),"oil boiler, 10kW","oil boiler production, 10kW"
DEC_COGEN_OIL_TANK,Construction,Decentralized Cogeneration with Oil Combustion (storage tank),"oil storage, 3000l","market for oil storage, 3000l"
DEC_COGEN_OIL_TURBINE,Construction,Decentralized Cogeneration with Oil Combustion (co-generation unit),"heat and power co-generation unit, organic Rankine cycle, 200kW electrical","heat and power co-generation unit construction, organic Rankine cycle, 200kW electrical"
DEC_COGEN_WOOD,Operation,Decentralized Cogeneration with Wood Combustion,"heat, central or small-scale, other than natural gas","heat production, wood chips from industry, at furnace 50kW, state-of-the-art 2014"
DEC_COGEN_WOOD_BOILER,Construction,Decentralized Cogeneration with Wood Combustion (boiler),"furnace, wood chips, hardwood storage area, 50kW","furnace production, wood chips, hardwood storage area, 50kW"
DEC_COGEN_WOOD_TURBINE,Construction,Decentralized Cogeneration with Wood Combustion (co-generation unit),"heat and power co-generation unit, organic Rankine cycle, 200kW electrical","heat and power co-generation unit construction, organic Rankine cycle, 200kW electrical"
DEC_DIRECT_ELEC,Construction,Decentralized Direct Electricity,"auxiliary heating unit, electric, 5kW","auxiliary heating unit production, electric, 5kW"
DEC_DIRECT_ELEC,Operation,Decentralized Direct Electricity,"electricity, low voltage","market for electricity, low voltage"
DEC_HP_ELEC,Construction,Decentralized Heat Pump Electricity ,"heat pump, brine-water, 10kW","heat pump production, brine-water, 10kW"
DEC_HP_ELEC,Operation,Decentralized Heat Pump Electricity ,"heat, air-water heat pump 10kW","heat production, air-water heat pump 10kW"
DEC_SOLAR,Construction,Decentralized Solar Thermal ,"flat plate solar collector, Cu absorber","flat plate solar collector production, Cu absorber"
DEC_THHP_GAS,Operation,Decentralized Thermal Gas Heat Pump,"heat, future","heat production, natural gas, at diffusion absorption heat pump 4kW, future"
